SeniorCitizen,tenure,TotalCharges,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,OnlineSecurity_No internet service,OnlineSecurity_Yes,TechSupport_No internet service,TechSupport_Yes,Churn_probabilidad
0,1,24.8,False,False,False,True,False,False,False,False,False,0.8335520343999518
0,41,996.45,False,False,False,False,False,True,False,True,False,0.10167129780935243
0,52,1031.7,False,True,False,False,True,True,False,True,False,0.007775614537447802
0,1,76.35,False,False,False,True,False,False,False,False,False,0.8371846457927773
0,67,3260.1,False,True,False,False,False,False,False,False,True,0.02655293951234135
1,68,6127.6,False,False,False,False,False,False,False,False,False,0.5608929555996985
0,23,1759.4,False,True,False,False,False,False,True,False,True,0.11360711609621389
0,72,5016.65,False,True,True,False,False,False,True,False,True,0.02427449118248201
0,70,7250.15,False,True,True,False,False,False,True,False,True,0.08182385768376184
0,1,19.4,False,False,False,False,True,True,False,True,False,0.43390615965995843
0,1,20.45,False,False,False,False,True,True,False,True,False,0.43403832047625174
0,34,2909.95,False,False,False,False,True,False,False,False,False,0.5757250207100968
1,28,1381.8,True,False,False,True,False,False,False,False,False,0.5285318511130148
1,18,1505.85,False,False,False,True,False,False,False,False,True,0.764633218342397
0,15,330.8,False,False,True,False,False,True,False,True,False,0.2894928313783186
1,11,997.65,False,False,False,False,False,False,False,False,False,0.7962915742818856
0,11,608.0,False,False,False,True,False,False,False,False,False,0.7777257056099575
0,1,70.0,False,False,False,True,False,False,False,False,False,0.8367406483937969
0,37,3340.55,False,False,False,True,False,False,False,False,False,0.7197920317928166
0,22,2001.5,False,False,False,True,False,False,False,False,False,0.7761506799953387
0,1,70.25,False,False,False,True,False,False,False,False,False,0.8367581470196034
0,1,19.45,False,False,False,True,False,True,False,True,False,0.5863387046673543
0,46,3769.7,False,False,False,False,False,False,False,False,False,0.543134028152742
0,51,5680.9,True,False,False,False,False,False,True,False,False,0.3823263360688303
0,41,4162.05,True,False,False,False,False,False,True,False,False,0.354214161187667
0,5,350.3,False,False,False,False,False,False,False,False,True,0.6752786675829199
0,45,4016.85,False,False,True,False,False,False,False,False,False,0.5690965194508008
0,29,1834.15,False,False,False,False,True,False,True,False,False,0.37905783491105577
1,15,1400.3,False,False,False,True,False,False,False,False,False,0.8462330052482937
0,72,4464.8,False,True,False,False,False,False,True,False,True,0.02004854567472158
0,50,5231.3,True,False,False,True,False,False,True,False,False,0.43890445803400974
0,27,581.85,False,True,False,False,True,True,False,True,False,0.03118924220183586
0,72,6316.2,False,True,False,False,False,False,False,False,True,0.08592530105384617
0,51,3562.5,True,False,True,False,False,False,True,False,True,0.11544211096126887
0,60,5475.9,False,False,True,False,False,False,True,False,False,0.3689942989163988
0,17,369.05,False,True,True,False,False,True,False,True,False,0.05959223624958827
0,72,1419.4,False,True,False,False,False,True,False,True,False,0.0031757542368192303
0,33,3409.6,False,False,False,True,False,False,False,False,False,0.7758713424732329
1,66,6891.45,True,False,False,True,False,False,False,False,False,0.6081058988942538
0,69,7446.9,False,False,False,True,False,False,False,False,False,0.7198886762937347
0,5,324.6,False,False,False,True,False,False,False,False,False,0.8178246001839418
0,57,5985.0,True,False,True,False,False,False,False,False,False,0.4429421482067531
1,8,606.25,False,False,False,True,False,False,False,False,False,0.8530406682745508
0,14,727.85,True,False,True,False,False,False,False,False,False,0.4759535258065776
